gid,poi_medium_3min,spklu_medium_3min,medium_gap_score
J3N2M2Y7R7R,180,0,180.0
J3N2M2Y7R8P,174,0,174.0
J3N2M822H7M,150,0,150.0
J3N2M822G8Q,147,0,147.0
J3N2M822G8R,147,0,147.0
J3N2M822P24,147,0,147.0
J3N2M3T788F,146,0,146.0
J3N2M822G8J,145,0,145.0
J3N2M822H7W,143,0,143.0
J3N2M2Y8P7F,139,0,139.0
J3N2M762R3H,139,0,139.0
J3N2M822G8C,139,0,139.0
J3N2M822M79,139,0,139.0
J3N2M822M7R,138,0,138.0
J3N2M2Y8P7M,136,0,136.0
J3N2M2Y7R88,135,0,135.0
J3N2M822G8P,134,0,134.0
J3N2M822G85,133,0,133.0
J3N2M822G8L,133,0,133.0
J3N2M822M2V,133,0,133.0
